age,sex,province,education,n
24,Female,Saskatchewan,Less than high school diploma or its equivalent,1
24,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,Alberta,"College, CEGEP or other non-university certificate or di...",1
24,Male,Alberta,High school diploma or a high school equivalency certificate,4
24,Male,Alberta,University certificate or diploma below the bachelor's level,1
24,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",1
24,Male,British Columbia,High school diploma or a high school equivalency certificate,4
24,Male,British Columbia,University certificate or diploma below the bachelor's level,2
24,Male,British Columbia,"University certificate, diploma or degree above the bach...",1
24,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,Manitoba,High school diploma or a high school equivalency certificate,1
24,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
24,Male,New Brunswick,Less than high school diploma or its equivalent,2
24,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
24,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
24,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
24,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",1
24,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
24,Male,Ontario,"College, CEGEP or other non-university certificate or di...",4
24,Male,Ontario,High school diploma or a high school equivalency certificate,6
24,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",3
24,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,3
24,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,Quebec,"College, CEGEP or other non-university certificate or di...",3
24,Male,Quebec,High school diploma or a high school equivalency certificate,2
24,Male,Quebec,Less than high school diploma or its equivalent,5
24,Male,Quebec,University certificate or diploma below the bachelor's level,7
24,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,Saskatchewan,High school diploma or a high school equivalency certificate,7
24,Male,Saskatchewan,Less than high school diploma or its equivalent,2
24,Male,Saskatchewan,University certificate or diploma below the bachelor's level,2
25,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
25,Female,Alberta,"College, CEGEP or other non-university certificate or di...",1
25,Female,Alberta,High school diploma or a high school equivalency certificate,3
25,Female,Alberta,Less than high school diploma or its equivalent,1
25,Female,Alberta,University certificate or diploma below the bachelor's level,1
25,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
25,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",3
25,Female,British Columbia,High school diploma or a high school equivalency certificate,5
25,Female,British Columbia,Less than high school diploma or its equivalent,2
25,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
25,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",2
25,Female,Manitoba,High school diploma or a high school equivalency certificate,1
25,Female,Manitoba,Less than high school diploma or its equivalent,2
25,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
25,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",1
25,Female,New Brunswick,High school diploma or a high school equivalency certificate,1
25,Female,New Brunswick,Less than high school diploma or its equivalent,1
25,Female,New Brunswick,"University certificate, diploma or degree above the bach...",1
25,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
25,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
25,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",3
